//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 8-8-2016
//--  Time: 16:58
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: AFR Table 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:linearGenerator
//-- Table Identifier:002//-- generated by Custom linear generator using user input data:
//-- Volts:1.0, 3.68     AFR:9.7, 18.2
//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
357	12.06	121 	1.743
358	12.07	121 	1.748
359	12.09	121 	1.753
360	12.10	121 	1.758
361	12.12	121 	1.763
362	12.13	121 	1.768
363	12.15	121 	1.772
364	12.17	122 	1.777
365	12.18	122 	1.782
366	12.20	122 	1.787
367	12.21	122 	1.792
368	12.23	122 	1.797
369	12.24	122 	1.802
370	12.26	123 	1.807
371	12.27	123 	1.812
372	12.29	123 	1.816
373	12.30	123 	1.821
374	12.32	123 	1.826
375	12.34	123 	1.831
376	12.35	124 	1.836
377	12.37	124 	1.841
378	12.38	124 	1.846
379	12.40	124 	1.851
380	12.41	124 	1.855
381	12.43	124 	1.860
382	12.44	124 	1.865
383	12.46	125 	1.870
384	12.48	125 	1.875
385	12.49	125 	1.880
386	12.51	125 	1.885
387	12.52	125 	1.890
388	12.54	125 	1.895
389	12.55	126 	1.899
390	12.57	126 	1.904
391	12.58	126 	1.909
392	12.60	126 	1.914
393	12.61	126 	1.919
394	12.63	126 	1.924
395	12.65	126 	1.929
396	12.66	127 	1.934
397	12.68	127 	1.938
398	12.69	127 	1.943
399	12.71	127 	1.948
400	12.72	127 	1.953
401	12.74	127 	1.958
402	12.75	128 	1.963
403	12.77	128 	1.968
404	12.78	128 	1.973
405	12.80	128 	1.978
406	12.82	128 	1.982
407	12.83	128 	1.987
408	12.85	128 	1.992
409	12.86	129 	1.997
410	12.88	129 	2.002
411	12.89	129 	2.007
412	12.91	129 	2.012
413	12.92	129 	2.017
414	12.94	129 	2.021
415	12.96	130 	2.026
416	12.97	130 	2.031
417	12.99	130 	2.036
418	13.00	130 	2.041
419	13.02	130 	2.046
420	13.03	130 	2.051
421	13.05	130 	2.056
422	13.06	131 	2.061
423	13.08	131 	2.065
